,store,address
201,독산역스카이밸리2차점,"서울특별시 금천구 범안로 1142, 1층 113(일부)호(가산동, 하우스디 더 스카이밸리 가산2차) "
202,국기원점,"서울특별시 강남구 테헤란로5길 11, 1층 2호(역삼동) "
203,포스코센터점,"서울특별시 강남구 삼성로85길 11, 생활편익시설동 지하1층 B11호(대치동, 롯데캐슬아파트) "
204,선릉한신점,"서울특별시 강남구 테헤란로 322, 지하2층  B160, 162호(역삼동, 한신인터밸리24빌딩) "
205,역삼역점,"서울특별시 강남구 테헤란로27길 8, 1층(역삼동, 다온빌딩) "
206,선릉역점,"서울특별시 강남구 테헤란로64길 9, 지하1층 101호(대치동, 선릉역대우아이빌) "
207,잠실트리지움점,"서울특별시 송파구 석촌호수로 61, 1층 146호(잠실동, 트리지움) "
208,선릉대치점,"서울특별시 강남구 선릉로90길 56, 지상1층 102호(대치동, 대치동 대우아이빌명문가) "
209,포스코사거리점,"서울특별시 강남구 테헤란로84길 16, 지상1층(대치동) "
210,삼성역현대백화점사옥점,"서울특별시 강남구 영동대로85길 20, 지상1층 102호(대치동) "
211,방이점,"서울특별시 송파구 올림픽로30길 9, 1층 108호(방이동, 엘루이시티) "
212,역삼점,"서울특별시 강남구 테헤란로43길 12, 103(역삼동,1층) "
213,송도인천대점,"인천광역시 연수구 하모니로 271,제1동 제112호(송도동, 송도코스테이주건축물) "
214,역삼역한라빌딩점,"서울 강남구 테헤란로25길 30, 1층 "
215,잠실리센츠점,"서울특별시 송파구 올림픽로 145, 상가동 1층 1에이91호(잠실동, 리센츠) "
216,삼성역점,"서울특별시 강남구 테헤란로108길 12, 지상1층(대치동, 하나빌딩) "
217,봉천역점,"서울특별시 관악구 남부순환로 1733, 1층(봉천동) "
218,몽촌토성역점,"서울특별시 송파구 위례성대로2길 8, 1층 109,110호(방이동, 새천년잠실헤리츠오피스텔) "
219,잠실종합운동장점,"서울특별시 송파구 올림픽로8길 4-11, 1층 101호(잠실동, 잠실 포레디움) "
220,잠실엘스점,"서울 송파구 올림픽로 119, 잠실파인애플상가 1층 40호 "
221,영등포이앤씨점,"서울 송파구 올림픽로 119, 잠실파인애플상가 1층 40호 "
222,선릉성원빌딩앞점,"서울특별시 강남구 선릉로94길 3, 1층(삼성동) "
223,루터회관점,"서울특별시 송파구 올림픽로35다길 42, 1층 101호(신천동, 루터회관) "
224,독산점,"서울특별시 금천구 가산디지털1로 25, 제1층 제102호(가산동, 대륭테크노타운17차) "
225,잠실지하상가점,"서울특별시 송파구 송파대로 567, B동 15호(잠실동, 잠실역지하도상가) "
226,삼성도심공항점,"서울특별시 강남구 테헤란로87길 17, 지상1층 105-1호(삼성동 마젤란 21 아스테리움) "
227,삼성역현대GBC점,"서울특별시 강남구 테헤란로107길 11, 지상 1층 103호(삼성동, 성보타운) "
228,역삼FnF점,"서울 강남구 테헤란로39길 55, 1층 "
229,방배카페골목점,"서울 서초구 방배로43길 43, 1층 103호 "
230,신논현점,"서울특별시 서초구 사평대로56길 7, 1층 107호(서초동, 서초한일유앤아이주상복합) "
231,코엑스점,"서울특별시 강남구 테헤란로83길 40(삼성동,1층) "
232,시흥은계호수공원점,"경기 시흥시 은계중앙로 236, 1층 110호 "
233,제일KCC점,"서울특별시 서초구 주흥길 3, 104호(반포동, 시범빌딩) "
234,삼성로점,"서울 강남구 삼성로 549, 정화빌딩 1층 102호 "
235,호서대벤처타워점,"서울특별시 금천구 가산디지털1로 70(가산동, 호서대벤처타워 101호) "
236,가산G밸리더리브스마트타워점,"서울특별시 금천구 가산디지털2로 34, 1층 111호(가산동, 지벨리더리브스마트타워) "
237,잔카드림타워점,"서울특별시 금천구 가산디지털2로 35, 1층 105호(가산동) "
238,장미상가점,"서울특별시 송파구 올림픽로35길 124, 에이상가 2동 1층 102호(신천동, 장미아파트) "
239,신림역점,"서울특별시 관악구 신림로 344, 102호, 103호(신림동, 에스케이허브그린) "
240,봉은사로선정릉점,"서울특별시 강남구 봉은사로 438, 지상1층(삼성동, 몽베르빌딩) "
